Species	xvar	yvar	experiment
Saimiri_boliviensis	2	2.470228829	AssemblyStatus.Alpha
Sus_scrofa	1	1.87809756	AssemblyStatus.Alpha
Bos_taurus	0	2.973367307	Divergence_to_NCA.Alpha
Callithrix_jacchus	0.118927629	2.300218497	Divergence_to_NCA.Alpha
Canis_lupus_familiaris	0	1.339210792	Divergence_to_NCA.Alpha
Ceratotherium_simum_cottoni	0.140125545	3.07205928	Divergence_to_NCA.Alpha
Daubentonia_madagascariensis	0.13562949	2.954661506	Divergence_to_NCA.Alpha
Dicerorhinus_sumatrensis	0.1412774	2.404204696	Divergence_to_NCA.Alpha
Equus_caballus	0	4.106223373	Divergence_to_NCA.Alpha
Felis_catus	0	0.9766717203	Divergence_to_NCA.Alpha
Homo_sapiens	0	3.867057387	Divergence_to_NCA.Alpha
Macaca_mulatta	0	2.595815891	Divergence_to_NCA.Alpha
Microcebus_murinus	0	2.890600042	Divergence_to_NCA.Alpha
Mus_musculus	0	2.821501142	Divergence_to_NCA.Alpha
Mus_pahari	0	2.660088058	Divergence_to_NCA.Alpha
Nomascus_leucogenys	0	3.937802443	Divergence_to_NCA.Alpha
Oryctolagus_cuniculus	0	2.620016186	Divergence_to_NCA.Alpha
Ovis_aries	0	3.425547178	Divergence_to_NCA.Alpha
Pongo_abelii	0	3.368587866	Divergence_to_NCA.Alpha
Rattus_norvegicus	0	2.535387586	Divergence_to_NCA.Alpha
Saimiri_boliviensis	0.11870027	2.470228829	Divergence_to_NCA.Alpha
Sus_scrofa	0	1.87809756	Divergence_to_NCA.Alpha
Bos_taurus	5.44135730694306	2.973367307	ContigN50.Alpha
Callithrix_jacchus	5.19112670962627	2.300218497	ContigN50.Alpha
Canis_lupus_familiaris	5.42728806721139	1.339210792	ContigN50.Alpha
Ceratotherium_simum_cottoni	4.96829611504626	3.07205928	ContigN50.Alpha
Daubentonia_madagascariensis	5.47543000804412	2.954661506	ContigN50.Alpha
Dicerorhinus_sumatrensis	4.95160462004841	2.404204696	ContigN50.Alpha
Equus_caballus	5.05069289225923	4.106223373	ContigN50.Alpha
Felis_catus	4.65503273081367	0.9766717203	ContigN50.Alpha
Homo_sapiens	7.76252410294542	3.867057387	ContigN50.Alpha
Macaca_mulatta	5.03008133541401	2.595815891	ContigN50.Alpha
Microcebus_murinus	5.32366865798514	2.890600042	ContigN50.Alpha
Mus_musculus	7.51604832089289	2.821501142	ContigN50.Alpha
Mus_pahari	4.46930644543117	2.660088058	ContigN50.Alpha
Nomascus_leucogenys	4.54590061772922	3.937802443	ContigN50.Alpha
Oryctolagus_cuniculus	4.8105550937578	2.620016186	ContigN50.Alpha
Ovis_aries	5.17745569343937	3.425547178	ContigN50.Alpha
Pongo_abelii	7.04430487213318	3.368587866	ContigN50.Alpha
Rattus_norvegicus	5.00199749686076	2.535387586	ContigN50.Alpha
Saimiri_boliviensis	4.58908909192574	2.470228829	ContigN50.Alpha
Sus_scrofa	4.84200355070992	1.87809756	ContigN50.Alpha
Bos_taurus	6.83290598284998	2.973367307	ScaffoldN50.Alpha
Callithrix_jacchus	8.11139580681761	2.300218497	ScaffoldN50.Alpha
Canis_lupus_familiaris	7.66159131871729	1.339210792	ScaffoldN50.Alpha
Ceratotherium_simum_cottoni	7.41958779642618	3.07205928	ScaffoldN50.Alpha
Daubentonia_madagascariensis	5.57969101345159	2.954661506	ScaffoldN50.Alpha
Dicerorhinus_sumatrensis	5.78852047373122	2.404204696	ScaffoldN50.Alpha
Equus_caballus	7.66978068623539	4.106223373	ScaffoldN50.Alpha
Felis_catus	7.25702955172226	0.9766717203	ScaffoldN50.Alpha
Homo_sapiens	7.83119685150716	3.867057387	ScaffoldN50.Alpha
Macaca_mulatta	6.62255282704343	2.595815891	ScaffoldN50.Alpha
Microcebus_murinus	8.0341147711575	2.890600042	ScaffoldN50.Alpha
Mus_musculus	7.73653952496683	2.821501142	ScaffoldN50.Alpha
Mus_pahari	8.04690947010547	2.660088058	ScaffoldN50.Alpha
Nomascus_leucogenys	7.72392239035351	3.937802443	ScaffoldN50.Alpha
Oryctolagus_cuniculus	7.5559751003067	2.620016186	ScaffoldN50.Alpha
Ovis_aries	8.0000421722895	3.425547178	ScaffoldN50.Alpha
